activity_id,week,location_id,co_share_group
A021,3,PLAT:BET:S13:WB,b1
A021,3,SEC:BET:S11_S12:WB,b1
A021,3,SEC:BET:S12_S13:WB,b1
A023,21,PLAT:ALP:S03:WB,b1
A023,21,PLAT:ALP:S04:WB,b1
A023,21,SEC:ALP:S03_S04:WB,b1
A023,22,PLAT:ALP:S03:WB,b1
A023,22,PLAT:ALP:S04:WB,b1
A023,22,SEC:ALP:S03_S04:WB,b1
A023,23,PLAT:ALP:S03:WB,b1
A023,23,PLAT:ALP:S04:WB,b1
A023,23,SEC:ALP:S03_S04:WB,b1
A025,8,PLAT:ALP:S01:EB,b1
A025,8,PLAT:ALP:S02:EB,b1
A025,8,PLAT:ALP:S03:EB,b1
A025,8,SEC:ALP:S01_S02:EB,b1
A025,8,SEC:ALP:S02_S03:EB,b1
A025,9,PLAT:ALP:S01:EB,b1
A025,9,PLAT:ALP:S02:EB,b1
A025,9,PLAT:ALP:S03:EB,b1
A025,9,SEC:ALP:S01_S02:EB,b1
A025,9,SEC:ALP:S02_S03:EB,b1
A025,10,PLAT:ALP:S01:EB,b1
A025,10,PLAT:ALP:S02:EB,b1
A025,10,PLAT:ALP:S03:EB,b1
A025,10,SEC:ALP:S01_S02:EB,b1
A025,10,SEC:ALP:S02_S03:EB,b1
A028,11,PLAT:ALP:H01:EB,b1
A028,11,PLAT:ALP:S03:EB,b1
A028,11,PLAT:ALP:S04:EB,b1
A028,11,SEC:ALP:S03_S04:EB,b1
A028,11,SEC:ALP:S04_H01:EB,b1
A031,1,PLAT:ALP:S06:WB,b1
A031,1,PLAT:ALP:S07:WB,b1
A031,1,PLAT:ALP:S08:WB,b1
A031,1,SEC:ALP:S06_S07:WB,b1
A031,1,SEC:ALP:S07_S08:WB,b1
A035,1,PLAT:ALP:S02:WB,b1
A035,1,PLAT:ALP:S03:WB,b1
A035,1,PLAT:ALP:S04:WB,b1
A035,1,SEC:ALP:S02_S03:WB,b1
A035,1,SEC:ALP:S03_S04:WB,b1
A036,22,PLAT:BET:H01:EB,b1
A036,22,PLAT:BET:S14:EB,b1
A036,22,SEC:BET:S14_H01:EB,b1
A036,23,PLAT:BET:H01:EB,b1
A036,23,PLAT:BET:S14:EB,b1
A036,23,SEC:BET:S14_H01:EB,b1
A036,24,PLAT:BET:H01:EB,b1
A036,24,PLAT:BET:S14:EB,b1
A036,24,SEC:BET:S14_H01:EB,b1
A037,8,PLAT:BET:S15:EB,b1
A037,8,PLAT:BET:S16:EB,b1
A037,8,PLAT:BET:S17:EB,b1
A037,8,SEC:BET:S15_S16:EB,b1
A037,8,SEC:BET:S16_S17:EB,b1
A038,11,PLAT:BET:S17:EB,b1
A038,11,PLAT:BET:S18:EB,b1
A038,11,SEC:BET:S17_S18:EB,b1
A039,8,PLAT:BET:S11:WB,b1
A039,8,PLAT:BET:S12:WB,b1
A039,8,PLAT:BET:S13:WB,b1
A039,8,PLAT:BET:S14:WB,b1
A039,8,SEC:BET:S11_S12:WB,b1
A039,8,SEC:BET:S12_S13:WB,b1
A039,8,SEC:BET:S13_S14:WB,b1
A039,9,PLAT:BET:S11:WB,b1
A039,9,PLAT:BET:S12:WB,b1
A039,9,PLAT:BET:S13:WB,b1
A039,9,PLAT:BET:S14:WB,b1
A039,9,SEC:BET:S11_S12:WB,b1
A039,9,SEC:BET:S12_S13:WB,b1
A039,9,SEC:BET:S13_S14:WB,b1
A039,10,PLAT:BET:S11:WB,b1
A039,10,PLAT:BET:S12:WB,b1
A039,10,PLAT:BET:S13:WB,b1
A039,10,PLAT:BET:S14:WB,b1
A039,10,SEC:BET:S11_S12:WB,b1
A039,10,SEC:BET:S12_S13:WB,b1
A039,10,SEC:BET:S13_S14:WB,b1
A040,13,PLAT:BET:H01:EB,b1
A040,13,PLAT:BET:H02:EB,b1
A040,13,PLAT:BET:S15:EB,b1
A040,13,PLAT:BET:S16:EB,b1
A040,13,SEC:BET:H01_H02:EB,b1
A040,13,SEC:BET:H02_S15:EB,b1
A040,13,SEC:BET:S15_S16:EB,b1
A040,14,PLAT:BET:H01:EB,b1
A040,14,PLAT:BET:H02:EB,b1
A040,14,PLAT:BET:S15:EB,b1
A040,14,PLAT:BET:S16:EB,b1
A040,14,SEC:BET:H01_H02:EB,b1
A040,14,SEC:BET:H02_S15:EB,b1
A040,14,SEC:BET:S15_S16:EB,b1
A040,15,PLAT:BET:H01:EB,b1
A040,15,PLAT:BET:H02:EB,b1
A040,15,PLAT:BET:S15:EB,b1
A040,15,PLAT:BET:S16:EB,b1
A040,15,SEC:BET:H01_H02:EB,b1
A040,15,SEC:BET:H02_S15:EB,b1
A040,15,SEC:BET:S15_S16:EB,b1
A041,11,PLAT:BET:S15:EB,b1
A041,11,PLAT:BET:S16:EB,b1
A041,11,SEC:BET:S15_S16:EB,b1
A042,23,PLAT:BET:S15:EB,b1
A042,23,PLAT:BET:S16:EB,b1
A042,23,PLAT:BET:S17:EB,b1
A042,23,PLAT:BET:S18:EB,b1
A042,23,SEC:BET:S15_S16:EB,b1
A042,23,SEC:BET:S16_S17:EB,b1
A042,23,SEC:BET:S17_S18:EB,b1
A043,15,PLAT:BET:H02:EB,b1
A043,15,PLAT:BET:S15:EB,b1
A043,15,PLAT:BET:S16:EB,b1
A043,15,PLAT:BET:S17:EB,b1
A043,15,SEC:BET:H02_S15:EB,b1
A043,15,SEC:BET:S15_S16:EB,b1
A043,15,SEC:BET:S16_S17:EB,b1
A046,9,PLAT:ALP:S05:WB,b1
A046,9,PLAT:ALP:S06:WB,b1
A046,9,SEC:ALP:S05_S06:WB,b1
A046,10,PLAT:ALP:S05:WB,b1
A046,10,PLAT:ALP:S06:WB,b1
A046,10,SEC:ALP:S05_S06:WB,b1
A047,13,PLAT:ALP:H02:EB,b1
A047,13,PLAT:ALP:S05:EB,b1
A047,13,PLAT:ALP:S06:EB,b1
A047,13,SEC:ALP:H02_S05:EB,b1
A047,13,SEC:ALP:S05_S06:EB,b1
A048,1,PLAT:BET:S13:EB,b1
A048,1,PLAT:BET:S14:EB,b1
A048,1,SEC:BET:S13_S14:EB,b1
A049,8,PLAT:BET:H02:WB,b1
A049,8,PLAT:BET:S15:WB,b1
A049,8,PLAT:BET:S16:WB,b1
A049,8,SEC:BET:H02_S15:WB,b1
A049,8,SEC:BET:S15_S16:WB,b1
A049,9,PLAT:BET:H02:WB,b1
A049,9,PLAT:BET:S15:WB,b1
A049,9,PLAT:BET:S16:WB,b1
A049,9,SEC:BET:H02_S15:WB,b1
A049,9,SEC:BET:S15_S16:WB,b1
A050,17,PLAT:ALP:H01:WB,b1
A050,17,PLAT:ALP:S03:WB,b1
A050,17,PLAT:ALP:S04:WB,b1
A050,17,SEC:ALP:S03_S04:WB,b1
A050,17,SEC:ALP:S04_H01:WB,b1
A051,26,PLAT:BET:S17:WB,b1
A051,26,PLAT:BET:S18:WB,b1
A051,26,SEC:BET:S17_S18:WB,b1
A054,17,PLAT:ALP:H01:EB,b1
A054,17,PLAT:ALP:H02:EB,b1
A054,17,PLAT:ALP:S04:EB,b1
A054,17,PLAT:ALP:S05:EB,b1
A054,17,SEC:ALP:H01_H02:EB,b1
A054,17,SEC:ALP:H02_S05:EB,b1
A054,17,SEC:ALP:S04_H01:EB,b1
A055,16,PLAT:BET:H01:EB,b1
A055,16,PLAT:BET:H02:EB,b1
A055,16,PLAT:BET:S13:EB,b1
A055,16,PLAT:BET:S14:EB,b1
A055,16,SEC:BET:H01_H02:EB,b1
A055,16,SEC:BET:S13_S14:EB,b1
A055,16,SEC:BET:S14_H01:EB,b1
A056,18,PLAT:ALP:H02:WB,b1
A056,18,PLAT:ALP:S05:WB,b1
A056,18,PLAT:ALP:S06:WB,b1
A056,18,PLAT:ALP:S07:WB,b1
A056,18,SEC:ALP:H02_S05:WB,b1
A056,18,SEC:ALP:S05_S06:WB,b1
A056,18,SEC:ALP:S06_S07:WB,b1
A057,15,PLAT:BET:H02:EB,b1
A057,15,PLAT:BET:S15:EB,b1
A057,15,PLAT:BET:S16:EB,b1
A057,15,SEC:BET:H02_S15:EB,b1
A057,15,SEC:BET:S15_S16:EB,b1
A057,17,PLAT:BET:H02:EB,b1
A057,17,PLAT:BET:S15:EB,b1
A057,17,PLAT:BET:S16:EB,b1
A057,17,SEC:BET:H02_S15:EB,b1
A057,17,SEC:BET:S15_S16:EB,b1
A057,18,PLAT:BET:H02:EB,b1
A057,18,PLAT:BET:S15:EB,b1
A057,18,PLAT:BET:S16:EB,b1
A057,18,SEC:BET:H02_S15:EB,b1
A057,18,SEC:BET:S15_S16:EB,b1
A057,20,PLAT:BET:H02:EB,b1
A057,20,PLAT:BET:S15:EB,b1
A057,20,PLAT:BET:S16:EB,b1
A057,20,SEC:BET:H02_S15:EB,b1
A057,20,SEC:BET:S15_S16:EB,b1
A058,2,PLAT:ALP:H01:WB,b1
A058,2,PLAT:ALP:H02:WB,b1
A058,2,PLAT:ALP:S03:WB,b1
A058,2,PLAT:ALP:S04:WB,b1
A058,2,SEC:ALP:H01_H02:WB,b1
A058,2,SEC:ALP:S03_S04:WB,b1
A058,2,SEC:ALP:S04_H01:WB,b1
A058,3,PLAT:ALP:H01:WB,b1
A058,3,PLAT:ALP:H02:WB,b1
A058,3,PLAT:ALP:S03:WB,b1
A058,3,PLAT:ALP:S04:WB,b1
A058,3,SEC:ALP:H01_H02:WB,b1
A058,3,SEC:ALP:S03_S04:WB,b1
A058,3,SEC:ALP:S04_H01:WB,b1
A058,4,PLAT:ALP:H01:WB,b1
A058,4,PLAT:ALP:H02:WB,b1
A058,4,PLAT:ALP:S03:WB,b1
A058,4,PLAT:ALP:S04:WB,b1
A058,4,SEC:ALP:H01_H02:WB,b1
A058,4,SEC:ALP:S03_S04:WB,b1
A058,4,SEC:ALP:S04_H01:WB,b1
A059,14,PLAT:ALP:S06:WB,b1
A059,14,PLAT:ALP:S07:WB,b1
A059,14,PLAT:ALP:S08:WB,b1
A059,14,SEC:ALP:S06_S07:WB,b1
A059,14,SEC:ALP:S07_S08:WB,b1
A059,15,PLAT:ALP:S06:WB,b1
A059,15,PLAT:ALP:S07:WB,b1
A059,15,PLAT:ALP:S08:WB,b1
A059,15,SEC:ALP:S06_S07:WB,b1
A059,15,SEC:ALP:S07_S08:WB,b1
A059,16,PLAT:ALP:S06:WB,b1
A059,16,PLAT:ALP:S07:WB,b1
A059,16,PLAT:ALP:S08:WB,b1
A059,16,SEC:ALP:S06_S07:WB,b1
A059,16,SEC:ALP:S07_S08:WB,b1
A060,13,PLAT:BET:H02:EB,b1
A060,13,PLAT:BET:S15:EB,b1
A060,13,PLAT:BET:S16:EB,b1
A060,13,SEC:BET:H02_S15:EB,b1
A060,13,SEC:BET:S15_S16:EB,b1
A061,4,PLAT:BET:H01:EB,b1
A061,4,PLAT:BET:H02:EB,b1
A061,4,PLAT:BET:S15:EB,b1
A061,4,SEC:BET:H01_H02:EB,b1
A061,4,SEC:BET:H02_S15:EB,b1
A061,5,PLAT:BET:H01:EB,b1
A061,5,PLAT:BET:H02:EB,b1
A061,5,PLAT:BET:S15:EB,b1
A061,5,SEC:BET:H01_H02:EB,b1
A061,5,SEC:BET:H02_S15:EB,b1
A061,6,PLAT:BET:H01:EB,b1
A061,6,PLAT:BET:H02:EB,b1
A061,6,PLAT:BET:S15:EB,b1
A061,6,SEC:BET:H01_H02:EB,b1
A061,6,SEC:BET:H02_S15:EB,b1
A063,5,PLAT:BET:H01:EB,b1
A063,5,PLAT:BET:H02:EB,b1
A063,5,PLAT:BET:S14:EB,b1
A063,5,SEC:BET:H01_H02:EB,b1
A063,5,SEC:BET:S14_H01:EB,b1
A064,16,PLAT:BET:S15:WB,b1
A064,16,PLAT:BET:S16:WB,b1
A064,16,SEC:BET:S15_S16:WB,b1
A065,19,PLAT:BET:S12:WB,b1
A065,19,PLAT:BET:S13:WB,b1
A065,19,SEC:BET:S12_S13:WB,b1
A066,25,PLAT:ALP:H01:WB,b1
A066,25,PLAT:ALP:S02:WB,b1
A066,25,PLAT:ALP:S03:WB,b1
A066,25,PLAT:ALP:S04:WB,b1
A066,25,SEC:ALP:S02_S03:WB,b1
A066,25,SEC:ALP:S03_S04:WB,b1
A066,25,SEC:ALP:S04_H01:WB,b1
A069,12,PLAT:ALP:H01:WB,b1
A069,12,PLAT:ALP:H02:WB,b1
A069,12,PLAT:ALP:S03:WB,b1
A069,12,PLAT:ALP:S04:WB,b1
A069,12,SEC:ALP:H01_H02:WB,b1
A069,12,SEC:ALP:S03_S04:WB,b1
A069,12,SEC:ALP:S04_H01:WB,b1
A069,13,PLAT:ALP:H01:WB,b1
A069,13,PLAT:ALP:H02:WB,b1
A069,13,PLAT:ALP:S03:WB,b1
A069,13,PLAT:ALP:S04:WB,b1
A069,13,SEC:ALP:H01_H02:WB,b1
A069,13,SEC:ALP:S03_S04:WB,b1
A069,13,SEC:ALP:S04_H01:WB,b1
A070,11,PLAT:ALP:H01:WB,b1
A070,11,PLAT:ALP:S03:WB,b1
A070,11,PLAT:ALP:S04:WB,b1
A070,11,SEC:ALP:S03_S04:WB,b1
A070,11,SEC:ALP:S04_H01:WB,b1
A070,12,PLAT:ALP:H01:WB,b1
A070,12,PLAT:ALP:S03:WB,b1
A070,12,PLAT:ALP:S04:WB,b1
A070,12,SEC:ALP:S03_S04:WB,b1
A070,12,SEC:ALP:S04_H01:WB,b1
A071,15,PLAT:BET:S15:EB,b1
A071,15,PLAT:BET:S16:EB,b1
A071,15,PLAT:BET:S17:EB,b1
A071,15,SEC:BET:S15_S16:EB,b1
A071,15,SEC:BET:S16_S17:EB,b1
A072,23,PLAT:ALP:H01:EB,b1
A072,23,PLAT:ALP:H02:EB,b1
A072,23,PLAT:ALP:S04:EB,b1
A072,23,SEC:ALP:H01_H02:EB,b1
A072,23,SEC:ALP:S04_H01:EB,b1
A073,22,PLAT:BET:H01:EB,b1
A073,22,PLAT:BET:H02:EB,b1
A073,22,PLAT:BET:S15:EB,b1
A073,22,SEC:BET:H01_H02:EB,b1
A073,22,SEC:BET:H02_S15:EB,b1
A074,19,PLAT:ALP:H01:EB,b1
A074,19,PLAT:ALP:H02:EB,b1
A074,19,SEC:ALP:H01_H02:EB,b1
A075,24,PLAT:BET:H01:WB,b1
A075,24,PLAT:BET:H02:WB,b1
A075,24,SEC:BET:H01_H02:WB,b1
